"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,81,1,256,32,8192,101.1358,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,94,1,256,32,8192,87.1489,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,256,256,64,108,1,256,32,8192,75.8519,8192,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,14,1,512,16,16384,1170.2857,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,27,1,512,16,16384,606.8148,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,40,1,512,16,16384,409.6,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,54,1,512,16,16384,303.4074,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,68,1,512,16,16384,240.9412,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,81,1,512,16,16384,202.2716,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,94,1,512,16,16384,174.2979,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,512,256,64,108,1,512,16,16384,151.7037,16384,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,14,1,8192,1,262144,18724.5714,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,27,1,8192,1,262144,9709.037,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,40,1,8192,1,262144,6553.6,262144,108,False,False
